Name,Tagline,Technologies,Topics
RADAR-base,Improve people's quality of life using patient generated data,java - kotlin - docker - angular - kafka,web - mhealth - remote patient monitoring - micro-services - devices
ReactOS Foundation,Open your windows to freedom!,c - c++ - win32 - nt,operating systems - kernel - drivers - windows - system programming
Red Hen Lab,Research on Multimodal Communication,python - machine learning - computer vision - nlp - data science,data science - media - language - multimodal communication - gesture
Responsible AI and Human Centred Technology,Human-centered and responsible AI for all,python - javascript - Technical writing,machine learning - ai - Fairness - Robustness - Safety - Interpretibility
Rizin,Rizin reverse engineering framework and toolset,c - python - go - c++ - qt,reverse engineering - computer security - debugging - emulation - disassembly
RoboComp,Open-source framework to develop robot components,python - opencv - c++ - qt - pytorch,robotics - computer vision - component-based development - Multi-agent Systems
Robolectric,Fast unit testing runtime for Android,android - java - jvm - asm,testing - mobile
rocket.chat,Open source team chat and communications platform,javascript - raspberry pi - typescript - node - meteorJS,communications - messaging - group chat - Team Collaboration - Chat platform
RTEMS Project,A real-time operating system for Earth & Space,python - c/c++ - assembly - posix,kernel - embedded - real-time - multicore - rtos
Ruby,Ruby is an object-oriented programming language,ruby on rails - ruby - rubygems - bundler,security - web
SageMath,Open-source mathematics software system,python - cython,mathematics - education - research
Scala Center,Guide and support the Scala community,scala - scala.js - scala native,education - compilers - tooling
SCoRe Lab,SCoRe Lab develops FOSS softwares for everyone!!!,python - java - go - nodejs - reactjs,security - web - machine learning - cloud
ScummVM,Adventure and RPG preservation project,opengl - lua - c++ - assembly - sdl,games - game engines - software preservation - software archeology
SeaQL,Building data intensive applications in Rust,mysql - postgresql - rust - sql - graphql,database - library - framework - sql - rust
Semi Technologies,The ML-first vector search engine,python - machine learning - golang - vectors - natural language processing,machine learning - Vector Database - Search Engines
sktime,A unified framework for ML with time series,python - github - sphinx - scikit-learn,data science - ai - time series - toolbox frameworks
Society for Arts and Technology (SAT),Create teleimmersive multisensorial experiences.,python - javascript - opengl - c++ - supercollider,web - graphics - cloud - multimedia - accessibility
Software Heritage,The universal source code archive,python - postgresql - javascript - django - git,big data - digital preservation - source code management - floss - big code
